GeneId	GeneName	log2FoldChange	pvalue	padj	stat	ENSEMBL
1	A1BG	0.107326554537805	0.88824722176452	NA	0.140522442626264	ENSG00000121410
503538	A1BG-AS1	-0.0212228394933724	0.956963727956488	0.991664819194019	-0.0539641484955877	ENSG00000268895
29974	A1CF	NA	NA	NA	NA	ENSG00000148584
2	A2M	0.245821237307008	0.8876793866184	NA	0.141241216178255	ENSG00000175899
144571	A2M-AS1	0.113983712048964	0.940644691115506	NA	0.0744595941015592	ENSG00000245105
144568	A2ML1	0.218652851272547	0.0956281907153553	0.494801033120073	1.66642803531727	ENSG00000166535
3	A2MP1	NA	NA	NA	NA	ENSG00000256069
53947	A4GALT	-0.0206103620703853	0.876147013462913	0.971576915769841	-0.155855384504336	ENSG00000128274
51146	A4GNT	NA	NA	NA	NA	ENSG00000118017
100506677	AA06	NA	NA	NA	NA	ENSG00000265544
8086	AAAS	0.164561357012442	0.223966792420821	0.679294021056007	1.21604759337968	ENSG00000094914
65985	AACS	0.145064865449364	0.204018436642735	0.654902504555766	1.27018585034371	ENSG00000081760
729522	AACSP1	-0.53250865260107	0.681599429869511	NA	-0.410281542970493	ENSG00000250420
13	AADAC	1.22270396953354	0.372940886153178	NA	0.890978161583643	ENSG00000114771
344752	AADACL2	NA	NA	NA	NA	ENSG00000197953
344752	AADACL2	NA	NA	NA	NA	ENSG00000261846
126767	AADACL3	NA	NA	NA	NA	ENSG00000188984
343066	AADACL4	NA	NA	NA	NA	ENSG00000204518
51166	AADAT	0.0188377471500402	0.943707146773718	0.988684029319678	0.0706112622947999	ENSG00000109576
79719	AAGAB	-0.130492218215372	0.190880829622732	0.642680560035264	-1.30797782823123	ENSG00000103591
22848	AAK1	-0.29575864085499	0.00839863504366567	0.143122762242695	-2.63560938834432	ENSG00000115977
28971	AAMDC	-0.276889401531872	0.146519786859007	0.584763101446276	-1.45193461407724	ENSG00000087884
14	AAMP	0.164700768767985	0.125570513573287	0.547004615663532	1.53180519562732	ENSG00000127837
15	AANAT	-1.70911197213244	0.673953711994018	NA	-0.420728000814512	ENSG00000129673
25980	AAR2	-0.1231979121149	0.37962586794229	0.800272633934559	-0.878585855166885	ENSG00000131043
441376	AARD	NA	NA	NA	NA	ENSG00000205002
57505	AARS2	0.0994365954972208	0.43142908929288	0.820788410952714	0.786748529356706	ENSG00000124608
80755	AARSD1	-1.1184106126563	0.784016624778764	NA	-0.274088482366288	ENSG00000266967
132949	AASDH	-0.130541057782378	0.499885828382854	0.85404874439036	-0.674669402418754	ENSG00000157426
60496	AASDHPPT	-0.395352196457196	0.0108721159994452	0.16565900421261	-2.5467825398142	ENSG00000149313
10157	AASS	-0.0229344394169515	0.880938789842897	0.972262740293281	-0.149779238495736	ENSG00000008311
26574	AATF	0.24151323390051	0.0321509566205843	0.306609719059738	2.14252876360425	ENSG00000275700
26574	AATF	0.24151323390051	0.0321509566205843	0.306609719059738	2.14252876360425	ENSG00000276072
9625	AATK	0.0548889574236892	0.927967496104578	NA	0.0904023414515503	ENSG00000181409
