ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP3617	Photodynamic therapy-induced NF-kB survival signaling	13/221	34/7341	6.2318574086954e-12	2.37433767271295e-09	1.99419437078253e-09	597/330/1437/2920/3383/3552/3553/3569/4312/4318/4791/5971/7124	13
WP4754	IL-18 signaling pathway	29/221	270/7341	1.70633949056402e-09	3.25057672952445e-07	2.73014318490243e-07	330/650/669/6364/948/2920/2921/3383/8870/3553/3569/10365/4050/4312/4322/4318/4791/4792/64332/5803/80031/9021/9399/7052/7124/7127/7128/79931/80149	29
WP1533	Vitamin B12 Metabolism	11/221	49/7341	1.52846121127282e-07	1.81761389744517e-05	1.52660484824791e-05	3383/3553/3569/4791/5327/6288/6289/12/6648/6947/7124	11
MINERVA Interferon lambda pathway	MINERVA Interferon lambda pathway	11/221	50/7341	1.90825606030989e-07	1.81761389744517e-05	1.52660484824791e-05	2537/64135/3434/3569/3665/10379/4791/4938/4939/4940/9021	11
WP5039	SARS-CoV-2 Innate Immunity Evasion and Cell-specific immune response	12/221	67/7341	5.71598318417104e-07	3.6942123319919e-05	3.10275051505881e-05	1437/2919/2920/2921/6374/6372/8519/3569/3570/3665/4599/7124	12
WP530	Cytokines and Inflammatory Response	8/221	26/7341	5.81765721573527e-07	3.6942123319919e-05	3.10275051505881e-05	1437/1440/2919/2920/3552/3553/3569/7124	8
WP4868	Type I Interferon Induction and Signaling During SARS-CoV-2 Infection	9/221	39/7341	1.66577498596628e-06	9.06657528075931e-05	7.61497136441727e-05	64135/9641/3665/10379/4792/4938/4939/4940/7097	9
WP4304	Oligodendrocyte specification and differentiation, leading to Myelin Components for CNS	8/221	30/7341	1.9639155869572e-06	9.35314798288369e-05	7.85566234782882e-05	650/2919/2920/3553/3976/5155/55553/7124	8
WP15	Selenium Micronutrient Network	12/221	76/7341	2.32756405406252e-06	9.85335449553133e-05	8.2757833033334e-05	3383/3553/3569/8942/4791/5327/6288/6289/12/6648/7124/7498	12
WP5063	FOXP3 in COVID-19	6/221	15/7341	2.77398658913657e-06	0.000105688889046103	8.87675708523701e-05	942/3560/3569/3570/3575/6776	6
WP4197	The human immune response to tuberculosis	7/221	23/7341	3.3125888277728e-06	0.000114736031216494	9.63662204442996e-05	3430/3434/3437/8519/10379/4599/4938	7
WP4493	Cells and Molecules involved in local acute inflammatory response 	6/221	16/7341	4.32729927059339e-06	0.00013739175184134	0.000115394647215824	718/3383/3552/3569/3689/7124	6
WP4496	Signal transduction through IL1R	8/221	34/7341	5.49008503271126e-06	0.000160901722881768	0.000135140554651354	3552/3553/3569/3656/11213/4792/7043/7124	8
WP619	Type II interferon signaling (IFNG)	8/221	36/7341	8.68654681364278e-06	0.000236398166856993	0.000198549641454692	3383/2537/3553/10379/9636/4938/5698/9021	8
WP3624	Lung fibrosis	10/221	60/7341	1.00590299276616e-05	0.000255499360162605	0.000214592638456781	1437/1440/2920/1906/2246/3553/3569/4318/5155/7124	10
WP176	Folate Metabolism	10/221	69/7341	3.57953521060123e-05	0.000852376822024418	0.000715907042120246	3383/3553/3569/4791/5327/6288/6289/12/6648/7124	10
